# Метеостанция Астана, Казахстан, WMO_ID=35188, выборка с 01.06.2018 по 31.08.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Астане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.06.2018 02:00";"14.1";"725.1";"755.5";"-0.3";"87";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"12.0";"";"";"";"";"";"";
"25.06.2018 23:00";"15.6";"725.4";"755.7";"-0.1";"77";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"24.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"11.6";"Следы осадков";"12";"";"";"";"";
"25.06.2018 20:00";"18.9";"725.5";"755.5";"0.9";"62";"Ветер, дующий с севера";"3";"";"";"70 – 80%.";" ";"";"";"";"24.9";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.5";"Следы осадков";"12";"";"";"";"";
"25.06.2018 17:00";"22.3";"724.6";"754.2";"0.3";"46";"Ветер, дующий с севера";"4";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.1";"";"";"";"";"";"";
"25.06.2018 14:00";"21.6";"724.3";"754.0";"-0.7";"46";"Ветер, дующий с северо-северо-запада";"3";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.5";"";"";"";"";"";"";
"25.06.2018 11:00";"22.1";"725.0";"754.6";"-0.2";"47";"Ветер, дующий с западо-северо-запада";"3";"";"";"60%.";" ";"";"";"11.6";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.3";"";"";"";"";"";"";
"25.06.2018 08:00";"19.4";"725.2";"755.1";"0.0";"62";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.9";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"25.06.2018 05:00";"12.2";"725.2";"755.8";"0.8";"89";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.4";"";"";"";"";"";"";
"25.06.2018 02:00";"13.8";"724.4";"754.9";"-0.1";"83";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"11.0";"";"";"";"";"";"";
"24.06.2018 23:00";"13.8";"724.4";"754.9";"0.2";"83";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"11.0";"";"";"";"";"";"";
"24.06.2018 20:00";"19.6";"724.2";"754.0";"1.1";"57";"Ветер, дующий с севера";"1";"";"";"70 – 80%.";" ";"";"";"";"25.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"10.9";"0.1";"12";"";"";"";"";
"24.06.2018 17:00";"24.6";"723.1";"752.5";"0.1";"37";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"9.0";"";"";"";"";"";"";
"24.06.2018 14:00";"21.5";"723.0";"752.6";"-0.2";"45";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";"Ливневый(ые) дождь(и). ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"50%.";"1500-2000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.1";"";"";"";"";"";"";
"24.06.2018 11:00";"23.9";"723.2";"752.6";"-0.2";"43";"Ветер, дующий с западо-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"13.3";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.6";"";"";"";"";"";"";
"24.06.2018 08:00";"20.7";"723.4";"753.1";"0.6";"50";"Ветер, дующий с северо-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"9.9";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"24.06.2018 05:00";"13.7";"722.8";"753.3";"0.1";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"24.06.2018 02:00";"14.7";"722.7";"753.0";"0.0";"78";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"10.9";"";"";"";"";"";"";
"23.06.2018 23:00";"16.9";"722.7";"752.8";"0.4";"62";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"25.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"";"9.6";"";"";"";"";"";"";
"23.06.2018 20:00";"22.6";"722.3";"751.8";"0.4";"42";"Ветер, дующий с западо-северо-запада";"1";"";"";"60%.";" ";"";"";"";"25.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.1";"";"";"";"";"";"";
"23.06.2018 17:00";"24.6";"721.9";"751.2";"-0.1";"36";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.6";"";"";"";"";"";"";
"23.06.2018 14:00";"23.5";"722.0";"751.4";"-0.4";"34";"Ветер, дующий с юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"6.7";"";"";"";"";"";"";
"23.06.2018 11:00";"22.6";"722.4";"751.9";"-0.1";"36";"Ветер, дующий с западо-юго-запада";"3";"";"";"60%.";" ";"";"";"11.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"6.8";"";"";"";"";"";"";
"23.06.2018 08:00";"19.5";"722.5";"752.4";"0.5";"47";"Ветер, дующий с западо-юго-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.9";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"23.06.2018 05:00";"12.6";"722.0";"752.5";"0.1";"71";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"7.5";"";"";"";"";"";"";
"23.06.2018 02:00";"12.6";"721.9";"752.4";"0.1";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"22.06.2018 23:00";"15.8";"721.8";"751.9";"1.1";"58";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"23.8";"";"";"";"";"";"";"7.6";"1.0";"12";"";"";"";"";
"22.06.2018 20:00";"21.8";"720.7";"750.1";"0.8";"41";"Ветер, дующий с запада";"2";"";"";"20–30%.";" ";"";"";"";"23.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.0";"1.0";"12";"";"";"";"";
"22.06.2018 17:00";"22.4";"719.9";"749.2";"-1.3";"59";"Ветер, дующий с юго-юго-запада";"4";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"14.0";"";"";"";"";"";"";
"22.06.2018 14:00";"17.4";"721.2";"751.1";"-0.5";"82";"Ветер, дующий с юга";"3";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"14.3";"";"";"";"";"";"";
"22.06.2018 11:00";"20.8";"721.7";"751.3";"0.7";"52";"Ветер, дующий с запада";"4";"";"";"100%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"18.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"10.0";"10.6";"0.1";"12";"";"";"";"";
"22.06.2018 08:00";"20.1";"721.0";"750.7";"0.0";"62";"Ветер, дующий с юго-юго-запада";"3";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.6";"0.1";"12";"Поверхность почвы влажная.";"16.0";"";"";
"22.06.2018 05:00";"19.1";"721.0";"750.7";"0.0";"59";"Ветер, дующий с юга";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"10.0";"10.9";"";"";"";"";"";"";
"22.06.2018 02:00";"21.7";"721.0";"750.5";"-1.5";"45";"Ветер, дующий с юго-юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"9.3";"";"";"";"";"";"";
"21.06.2018 23:00";"21.6";"722.5";"752.1";"0.6";"46";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"31.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"9.5";"";"";"";"";"";"";
"21.06.2018 20:00";"26.4";"721.9";"751.0";"-0.3";"32";"Ветер, дующий с запада";"2";"";"";"40%.";" ";"";"";"";"31.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.4";"";"";"";"";"";"";
"21.06.2018 17:00";"30.6";"722.2";"750.9";"-0.9";"21";"Ветер, дующий с юго-запада";"4";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.8";"";"";"";"";"";"";
"21.06.2018 14:00";"29.8";"723.1";"751.9";"-1.3";"25";"Ветер, дующий с юго-запада";"5";"";"";"60%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.7";"";"";"";"";"";"";
"21.06.2018 11:00";"27.4";"724.4";"753.5";"-0.8";"32";"Ветер, дующий с юго-юго-запада";"4";"";"";"40%.";" ";"";"";"13.8";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.3";"";"";"";"";"";"";
"21.06.2018 08:00";"22.1";"725.2";"754.8";"0.1";"50";"Ветер, дующий с юга";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.2";"";"";"Поверхность почвы влажная.";"";"";"";
"21.06.2018 05:00";"14.7";"725.1";"755.5";"0.2";"71";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"9.5";"";"";"";"";"";"";
"21.06.2018 02:00";"16.2";"724.9";"755.2";"0.2";"71";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"20.06.2018 23:00";"19.4";"724.7";"754.6";"0.2";"57";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"25.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"10.7";"7.0";"12";"";"";"";"";
"20.06.2018 20:00";"21.1";"724.5";"754.2";"0.0";"56";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"25.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.0";"7.0";"12";"";"";"";"";
"20.06.2018 17:00";"21.0";"724.5";"754.2";"-0.3";"55";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";"Гроза, но без осадков, в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.6";"";"";"";"";"";"";
"20.06.2018 14:00";"21.2";"724.8";"754.5";"-0.1";"52";"Ветер, дующий с западо-северо-запада";"5";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"11.0";"";"";"";"";"";"";
"20.06.2018 11:00";"22.6";"724.9";"754.5";"0.1";"36";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"12.9";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.8";"";"";"";"";"";"";
"20.06.2018 08:00";"19.3";"724.8";"754.7";"0.7";"52";"Ветер, дующий с западо-северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.2";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";"";
"20.06.2018 05:00";"13.2";"724.1";"754.6";"0.5";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"20.06.2018 02:00";"13.7";"723.6";"754.0";"0.3";"72";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"8.7";"";"";"";"";"";"";
"19.06.2018 23:00";"15.8";"723.3";"753.5";"0.3";"59";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"23.3";"";"";"";"";"";"";"7.8";"Следы осадков";"12";"";"";"";"";
"19.06.2018 20:00";"19.8";"723.0";"752.8";"0.4";"37";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"23.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"4.7";"Следы осадков";"12";"";"";"";"";
"19.06.2018 17:00";"22.4";"722.6";"752.2";"0.9";"30";"Ветер, дующий с западо-северо-запада";"4";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"4.0";"";"";"";"";"";"";
"19.06.2018 14:00";"21.8";"721.7";"751.3";"0.4";"43";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.7";"";"";"";"";"";"";
"19.06.2018 11:00";"19.1";"721.3";"751.1";"0.4";"53";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"10.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1500-2000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"9.3";"";"";"";"";"";"";
"19.06.2018 08:00";"16.4";"720.9";"751.0";"0.6";"61";"Ветер, дующий с западо-северо-запада";"3";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"8.9";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"8.0";"";"";
"19.06.2018 05:00";"10.9";"720.3";"751.0";"1.1";"62";"Ветер, дующий с западо-северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"3.9";"";"";"";"";"";"";
